period_days,duration_hrs,depth_ppm,radius_rearth,impact,teff,logg,st_rad,mission,label
2.337437946,1.9982,971.2,2.34,0.28,5005.0,4.595,0.765,KEPLER,CONFIRMED
7.2406612,0.558,556.4,19.45,1.198,5005.0,4.595,0.765,KEPLER,CANDIDATE
3.43591631,3.133,23.2,0.55,0.624,5779.0,4.339,1.087,KEPLER,CANDIDATE
11.59822233,2.5237,2804.5,2.65,0.679,3688.0,4.79,0.473,KEPLER,CONFIRMED
6.575315881,4.3084,2793.3,5.31,0.39,5992.0,4.415,0.989,KEPLER,CONFIRMED
7.275040844,7.5377,3001.0,4.86,0.547,5485.0,4.556,0.867,KEPLER,CONFIRMED
19.27153892,2.7594,1219.8,1.93,0.031,4077.0,4.702,0.56,KEPLER,CONFIRMED
10.06524317,1.369,1053.3,1.91,0.628,4077.0,4.702,0.56,KEPLER,CONFIRMED
12.3935651,3.8896,916.6,2.66,0.883,5557.0,4.603,0.75,KEPLER,CONFIRMED
43.84439721,6.802,615.2,2.87,0.852,5854.0,4.406,1.012,KEPLER,CONFIRMED
3.341913228,3.813,725.3,21.55,1.213,5295.0,4.551,0.811,KEPLER,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,1.26,5735.0,4.41,0.973,KEPLER,FALSE POSITIVE
2.711504086,3.0099,837.5,3.12,0.023,6214.0,4.442,1.076,KEPLER,CONFIRMED
7.21203748,4.0491,950.4,3.32,0.012,6214.0,4.442,1.076,KEPLER,CONFIRMED
14.1798187,2.505,459.9,1.88,0.1601,5799.0,4.539,0.878,KEPLER,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,0.022,5354.0,4.587,0.788,KEPLER,CONFIRMED
60.4189369,5.039,931.3,2.36,0.094,5354.0,4.587,0.788,KEPLER,CONFIRMED
12.611904345,5.1497,6105.6,7.4,0.55,5795.0,4.508,0.919,KEPLER,CONFIRMED
1.433769925,1.8868,1976.3,46.58,1.268,6017.0,4.22,1.339,KEPLER,FALSE POSITIVE
10.31872301,3.836,871.7,28.59,1.215,5927.0,4.409,1.06,KEPLER,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,0.238,5519.0,4.35,1.062,KEPLER,CONFIRMED
6.770300385,2.0844,1304.0,2.77,0.838,5653.0,4.656,0.679,KEPLER,CONFIRMED
0.444291966,2.0792,10967.0,27.51,1.258,5255.0,4.678,0.636,KEPLER,FALSE POSITIVE
10.181584004,3.5089,5741.1,7.73,0.92,5988.0,4.541,0.836,KEPLER,CANDIDATE
20.06036336,3.3203,1494.7,1.96,0.556,3950.0,4.754,0.493,KEPLER,CONFIRMED
46.1842039,4.758,1394.7,1.83,0.013,3950.0,4.754,0.493,KEPLER,CONFIRMED
23.9800854,5.351,104.0,1.31,0.95,5854.0,4.406,1.012,KEPLER,CONFIRMED
7.82502168,2.186,520.8,1.2,0.708,3950.0,4.754,0.493,KEPLER,CONFIRMED
3.895936525,2.3111,8544.8,7.34,0.524,5557.0,4.592,0.774,KEPLER,CONFIRMED
22.36646466,5.228,986.8,2.32,0.4,5395.0,4.615,0.734,KEPLER,CONFIRMED
1.625522174,2.38963,7969.0,9.73,0.076,5539.0,4.322,1.106,KEPLER,CONFIRMED
19.620346923,2.0038,21725.0,13.6,0.458,5710.0,4.492,0.905,KEPLER,CANDIDATE
7.544039,6.222,322.6,17.47,1.175,5657.0,4.567,0.824,KEPLER,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,0.024,5349.0,4.526,0.82,KEPLER,CONFIRMED
10.328035714,7.7915,16918.0,13.28,0.281,5627.0,4.359,1.024,KEPLER,FALSE POSITIVE
143.2063047,8.9302,10566.0,8.9,0.379,5485.0,4.556,0.867,KEPLER,CONFIRMED
6.164876,3.262,55.8,0.79,0.646,5854.0,4.406,1.012,KEPLER,CONFIRMED
60.32494216,6.6188,20280.0,12.19,0.224,5485.0,4.556,0.867,KEPLER,CONFIRMED
